,1,2,3,4,5,6,7,8,9,10
G137,1261.0,1279.0,2522.0,2372.0,1076.0,1697.0,3670.0,1192.0,3051.0,3187.0
G138,5.18,7.04,9.0,9.01,7.83,5.81,9.0,22.0,7.72,1.9
G139,4336.8,6182.3,2434.31,4485.35,6043.15,4908.33,4562.72,1963.0,2070.99,2701.84
G140,144.14,127.0,465.62,573.19,280.23,318.9,585.01,654.11,617.95,168.99
G141,1.0,2.85,1.46,5.97,2.98,6.12,5.16,8.53,5.23,3.26
G142,1.06,8.42,9.0,5.0,8.0,1.0,2.0,9.52,10.0,3.77
G143,7771.0,2685.0,4944.0,2999.0,3807.0,4320.0,6954.0,3036.0,7522.0,6653.0
G144,153.13,160.32,181.61,454.58,283.58,547.76,179.18,249.99,87.63,483.83
G2477,1.79,3.39,1.0,8.56,4.0,3.87,4.33,0.85,3.27,8.36
G146,185.0,198.0,522.0,540.0,338.0,311.0,310.0,354.0,279.0,438.0
G147,9.69,2.26,3.38,7.35,6.56,9.26,8.04,1.0,1.89,1.06
G148,215.0,453.0,374.0,592.0,294.0,43.0,742.0,242.0,477.0,49.0
G149,462.0,497.0,1239.0,695.0,708.0,1230.0,533.0,1050.0,673.0,3096.0
G150,9.37,14.08,1.51,1.96,3.08,12.73,1.49,4.83,5.02,3.18
G151,102.84,105.63,254.07,242.74,147.58,316.73,223.74,430.58,160.52,370.17
G152,53.0,18.0,109.0,195.0,117.0,90.0,158.0,95.0,155.0,40.0
G153,8.55,7.44,2.0,1.0,8.31,4.16,4.05,4.78,5.04,4.6
G154,229.0,246.0,314.0,354.0,305.0,422.0,306.0,319.0,255.0,260.0
G155,80.0,80.0,175.0,173.0,147.0,249.0,97.0,223.0,105.0,113.0
G156,324.0,360.0,747.0,675.0,474.0,745.0,581.0,796.0,331.0,542.0
G157,1.0,1.0,15.0,17.0,2.0,24.0,9.0,100.0,2.0,62.0
G158,1887.0,1645.0,2334.0,3638.0,2317.0,2740.0,1033.0,3798.0,1824.0,4066.0
G159,575.0,638.0,927.0,687.0,724.0,358.0,742.0,978.0,674.0,583.0
G160,159.0,271.0,354.0,305.0,269.0,906.0,286.0,174.0,184.0,293.0
G161,43.0,22.0,223.0,93.0,59.0,120.0,69.0,129.0,61.0,64.0
G162,7.0,1.0,73.0,36.0,41.0,4.0,41.0,11.0,34.0,38.0
G163,42.0,130.0,392.0,129.0,44.0,327.0,76.0,460.0,55.0,1088.0
G164,1745.64,1985.56,4754.28,2963.29,1786.45,6291.6,3099.09,5371.49,1298.06,3728.18
G165,248.0,352.0,561.0,428.0,369.0,912.0,442.0,428.0,244.0,1057.0
G166,432.0,336.0,571.0,505.97,387.85,865.0,443.49,503.0,282.0,687.0
G167,18.98,18.04,37.2,35.69,21.22,58.82,19.06,23.84,8.75,60.77
G168,17.0,21.0,149.0,48.0,36.0,85.0,20.0,716.0,9.0,581.0
G169,105.0,44.0,203.0,364.0,124.0,71.0,258.0,224.0,112.0,115.0
G170,81.95,70.0,107.27,73.0,114.0,116.47,131.77,184.93,81.0,200.68
G171,43.0,5.0,152.0,205.0,81.0,92.0,218.0,70.0,255.0,76.0
G172,973.1,933.39,1375.17,2109.16,1357.67,947.35,1140.61,795.97,852.93,795.11
G173,16003.0,8275.0,4541.0,4514.0,4207.0,1647.0,5963.0,1877.0,7371.0,3751.0
G174,289.0,125.0,1059.0,903.0,521.0,4044.0,1416.0,2136.0,830.0,1100.0
G175,179.86,126.53,232.61,282.19,191.84,327.36,367.93,308.7,226.37,332.36
G176,1785.0,1494.0,4555.0,2999.0,1994.0,2896.0,2865.0,3376.0,1343.0,3588.0
G177,138.0,106.0,264.0,222.0,199.0,178.0,292.0,228.0,231.0,234.0
G178,64.0,56.0,97.0,112.0,96.0,111.0,69.0,141.0,84.0,79.0
G179,198.25,87.38,267.95,252.9,244.24,117.51,336.82,386.04,258.0,178.28
G180,590.0,712.0,1340.0,1460.0,1890.0,457.0,1469.0,3101.0,1277.0,358.0
G181,435.25,410.24,509.24,733.95,455.97,340.98,448.77,399.19,317.22,538.98
G182,175.0,225.0,1204.0,2843.0,245.0,806.0,604.0,2147.0,113.0,392.0
G183,73.0,125.0,326.0,197.0,220.0,573.0,208.0,525.0,185.0,374.0
G184,480.0,454.0,527.0,689.0,378.0,1157.0,573.0,478.0,620.0,724.0
G185,3.16,7.77,9.0,9.08,8.8,2.6,6.74,119.0,9.16,5.0
G186,817.0,443.0,800.0,379.0,503.0,656.0,1216.0,646.0,919.0,414.0
G187,1805.0,3210.0,3390.0,2237.0,2289.0,7056.0,1666.0,1354.0,593.0,5786.0
G188,574.0,735.0,553.0,459.0,475.0,191.0,356.0,373.0,526.0,1200.0
G189,287.0,219.0,479.0,207.0,321.0,369.0,304.0,193.0,354.0,85.0
G190,7.61,5.3,1.86,7.81,4.25,4.0,3.0,3.0,8.86,7.07
G191,253.0,76.0,540.0,162.0,293.0,570.0,897.0,383.0,365.0,400.0
G192,226.0,163.0,356.0,238.0,243.0,83.0,219.0,310.0,135.0,486.0
G193,930.0,1138.0,513.0,509.0,733.0,410.0,797.0,884.0,682.0,644.0
G194,139.0,186.0,173.0,224.0,220.0,336.0,285.0,112.0,87.0,1039.0
G195,35.85,6.7,128.98,142.2,145.7,49.63,149.98,160.74,190.46,257.54
G196,1153.0,1163.0,3329.0,2465.99,1785.0,2039.99,2212.99,2742.0,1684.0,3033.0
G197,365.0,292.0,331.0,377.0,369.0,473.0,482.0,625.0,498.0,446.0
G198,108.0,105.0,308.0,166.0,156.0,252.0,240.0,259.0,171.0,309.0
G199,148.0,143.0,224.0,357.0,225.0,552.0,420.0,168.0,242.0,241.0
G200,74.0,85.0,309.0,166.0,123.0,272.0,137.0,278.0,57.0,250.0
G201,184.0,226.0,372.0,305.0,246.0,631.0,319.0,460.0,257.0,481.0
G202,780.0,808.0,1051.0,1251.0,950.0,2250.0,1153.0,766.0,698.0,912.0
G203,282.0,222.0,829.0,272.0,402.0,1284.0,409.0,434.0,299.0,1193.0
G204,801.28,1251.66,694.7,1107.4,1600.14,869.76,1540.67,1312.63,677.13,622.05
G205,218.28,185.17,300.35,287.29,299.55,686.2,243.57,231.02,114.47,386.38
G206,69.0,14.0,102.0,75.0,26.0,66.0,156.0,122.0,90.0,27.0
G207,947.68,279.26,756.58,752.47,740.22,838.03,892.61,547.77,914.73,3172.59
G208,90.0,56.0,159.0,195.0,104.0,363.0,133.0,223.0,102.0,339.0
G209,1490.0,2021.0,1072.0,2486.0,2050.0,12852.0,2848.0,2927.0,786.0,4229.0
G210,5.19,17.0,115.52,65.0,47.51,155.0,84.0,409.96,22.0,312.43
G211,1.0,1.62,10.0,3.0,6.0,4.0,5.0,7.75,5.0,5.0
G212,3735.0,2354.0,2870.0,3928.0,2864.0,1671.0,1334.0,891.0,2286.0,4230.0
G213,66.0,16.0,56.0,57.0,48.0,5.0,243.0,34.0,49.0,10.0
G214,9.0,3.0,41.0,56.0,60.0,5.0,24.0,10.0,55.0,30.0
G215,16.0,2.0,42.0,46.0,21.0,11.0,99.0,30.0,146.0,2.0
G216,104.0,54.0,603.0,171.0,133.0,659.0,501.0,1017.0,402.0,427.0
G217,23.39,14.21,178.82,92.03,60.72,200.0,127.1,241.0,77.9,27.59
G218,182.43,222.0,414.0,409.0,251.0,892.0,382.0,428.0,150.0,530.0
G219,109.0,50.0,555.0,553.0,501.0,47.0,646.0,245.0,499.0,151.0
G220,146.0,117.0,126.0,342.0,263.0,172.0,186.0,113.0,219.0,114.0
G221,2609.0,2894.0,3600.0,3840.0,2946.0,9795.0,4636.0,7501.0,2313.0,7433.0
G222,6.53,3.85,1.56,3.81,2.1,6.96,9.9,9.62,1.17,9.04
G223,4.0,6.0,40.0,20.0,12.0,53.0,14.0,328.0,13.0,73.0
G224,3682.0,5759.0,2003.0,2775.0,2948.0,2371.0,3832.0,2365.24,800.0,2492.0
G225,1.79,1.0,1.53,8.07,1.0,6.97,6.32,8.49,2.85,8.16
G226,7.22,8.74,7.82,2.0,2.79,2.68,7.7,9279.0,1.0,4.82
G227,730.0,375.0,825.0,228.0,399.0,783.0,1235.0,613.0,1311.0,1056.0
G228,361.0,594.0,514.0,430.0,466.0,90.0,375.0,536.0,330.0,85.0
G229,3.0,1.0,9.0,12.0,13.0,4.0,23.0,8.73,17.0,8.7
G230,36.0,17.0,203.0,122.0,107.0,478.0,147.0,251.0,65.0,505.0
G231,105.0,102.0,213.0,161.0,144.0,312.0,163.0,248.0,94.0,222.0
G232,311.0,556.0,337.0,317.0,279.0,284.0,177.0,56.0,110.0,802.0
G233,283.58,399.8,712.6,414.0,439.99,1978.29,444.11,894.33,238.49,423.92
G234,1352.0,1689.0,769.0,1272.0,1983.0,923.0,742.0,560.0,572.0,725.0
G235,486.53,320.97,415.0,574.65,570.25,580.0,485.48,635.91,487.04,376.34
G236,330.94,420.71,368.39,395.66,315.5,282.22,414.08,209.0,189.11,659.33
G237,179.0,74.0,642.0,184.0,218.6,580.0,650.0,1084.0,682.0,333.54
G238,584.0,425.0,1179.0,1698.0,985.0,465.0,1201.0,750.0,1243.0,947.0
G239,35.0,44.0,74.0,32.0,24.0,15.0,44.0,16.0,35.0,15.0
G240,330.0,317.0,774.0,499.0,344.0,458.0,446.0,624.0,261.0,579.0
G241,847.0,209.0,771.0,610.0,503.0,598.0,987.0,825.0,863.0,785.0
G242,1373.0,1037.0,751.0,1015.0,1025.0,500.0,1815.0,999.0,2536.0,705.0
G243,72.0,64.0,138.0,185.0,86.0,215.0,143.0,119.0,140.0,149.0
G244,2.26,5.1,2.61,8.97,3.2,5.65,3.13,2.95,4.66,2.69
G245,152.0,98.0,298.0,165.0,164.0,401.0,685.0,148.0,325.0,161.0
G246,31.0,38.0,495.0,174.0,100.0,48.0,126.0,255.0,127.0,1716.0
G247,172.0,230.0,310.0,452.0,356.0,732.0,304.0,460.0,360.0,259.0
G248,5.0,9.96,107.79,75.96,9.92,9.0,200.04,138.88,67.41,16.0
G249,157.0,158.0,265.0,285.0,207.0,337.0,198.0,235.0,136.0,264.0
G250,7.28,4.46,6.08,3.38,4.89,7.56,2.0,5.0,7.0,9.0
G251,42.0,19.0,111.0,60.0,52.0,35.0,185.0,40.0,78.0,16.0
G252,263.0,231.0,290.0,336.0,397.0,271.0,222.0,345.0,205.0,264.0
G253,2.23,4.82,8.74,19.22,7.62,30.16,6.67,29.87,4.47,36.7
G254,29.0,17.0,81.0,92.0,65.0,5.0,60.0,73.0,84.0,5.0
G255,8.88,5.0,6.0,2.0,9.65,1.0,4.0,6.0,2.0,7.83
G256,866.0,857.0,1751.0,1514.0,971.0,2691.0,1506.0,2168.0,790.0,2243.0
G257,11.0,7.0,180.0,106.0,71.0,27.0,337.0,131.0,152.0,33.0
G258,518.0,457.0,1099.0,1186.0,761.0,721.0,848.0,505.0,576.0,2398.0
G259,1.0,2.0,20.0,22.0,5.0,12.0,21.0,9.0,30.0,39.0
G260,8.0,6.0,5.0,3.0,7.0,4.0,2.0,7.6,1.0,1.83
G261,36.0,31.0,71.0,53.0,51.0,18.0,43.0,98.0,48.0,40.0
G262,173.0,217.0,343.0,446.0,248.0,736.0,244.0,310.76,186.0,352.86
G263,129.83,52.14,141.43,90.21,139.22,112.91,105.77,76.16,84.38,57.88
G264,407.0,275.0,568.0,657.0,376.0,1257.0,433.0,442.0,369.0,672.0
G265,10886.0,4423.0,12888.0,10882.0,8235.0,28152.0,15957.0,15714.0,11115.0,29203.0
G266,18.0,16.0,58.0,58.0,46.0,30.0,25.0,81.0,23.0,88.0
G267,4.0,9.0,61.0,44.0,8.0,46.0,18.0,174.0,11.0,150.0
G268,5179.0,4261.0,2208.0,1101.0,3817.0,512.0,2716.0,2017.0,2602.0,117.0
G269,13.0,72.0,54.0,75.0,100.0,6.0,17.0,73.0,6.0,64.0
G270,41.0,45.0,91.0,94.0,64.0,25.0,214.0,30.0,102.0,31.0
G271,77.0,77.0,351.0,373.0,345.0,483.0,257.0,81.0,174.0,176.0
G272,39.66,4.17,20.62,1.0,9.38,1093.25,27.12,13.53,9.91,166.27
G273,225.0,144.0,403.0,258.0,258.0,111.0,515.0,412.0,446.0,141.0
G274,12.0,7.0,12.0,23.0,13.0,8.0,7.0,8.0,22.0,13.0
G275,10.0,3.0,16.0,13.0,16.0,2.41,18.0,4.0,19.0,118.92
G276,53.0,16.0,91.0,162.0,57.0,25.0,147.0,72.0,88.0,150.0
G277,101.0,42.0,286.0,297.0,196.0,136.0,245.0,188.0,199.0,235.0
G278,1155.0,1120.0,2372.0,2195.0,1330.0,5073.0,1510.0,1459.0,925.0,1197.0
G279,476.92,344.0,1092.89,1185.77,860.68,765.8,804.43,1135.01,495.62,1211.96
G280,384.0,437.0,419.0,539.0,524.0,597.0,714.0,458.0,659.0,604.0
G281,3.0,9.0,50.0,41.0,59.0,1.0,110.0,10.0,76.0,1.0
G282,337.0,261.0,456.0,576.0,431.0,630.0,465.0,285.0,288.0,402.0
G283,546.53,681.94,1122.38,816.73,796.68,1643.97,793.7,1021.99,401.68,1106.63
G284,323.0,432.0,559.0,684.0,447.0,556.0,520.0,650.0,528.0,505.0
G285,284.0,149.0,899.0,902.0,581.0,141.0,1537.0,561.0,955.0,217.0
G286,135.0,264.0,16.0,54.0,29.0,9.0,34.0,63.0,23.0,10.0
G287,42944.0,50507.0,38515.0,41297.0,34661.0,29183.0,33982.0,28627.0,9379.0,38824.0
G288,358.0,330.0,579.0,647.0,477.0,837.0,653.0,761.0,505.0,469.0
G289,1777.66,1143.0,5277.27,2636.0,2097.91,5899.35,3437.06,3579.59,2217.27,2106.35
G290,308.0,294.0,583.0,455.0,464.0,721.0,334.0,301.0,179.0,644.0
G291,1770.0,1720.0,2164.0,2619.0,2389.0,1091.0,2531.0,3177.0,2480.0,2255.0
G292,26.0,19.0,75.0,48.0,25.0,44.0,38.0,109.0,74.0,65.0
G293,317.0,276.33,1741.85,917.49,606.55,1503.3,661.45,566.14,434.0,163.15
G294,170.0,216.83,53.0,220.89,185.98,128.0,65.89,3.0,50.0,26.0
G295,1312.0,1693.0,1437.0,1535.0,1505.0,856.0,1292.0,1467.0,558.0,1755.0
G296,351.0,289.0,750.65,525.61,470.81,1126.0,522.67,1108.13,409.67,691.49
G297,1572.0,1332.0,2553.0,1467.0,1431.0,2230.0,2820.0,1814.0,1417.0,3621.0
G298,586.0,585.0,613.0,653.0,910.0,718.0,691.0,612.0,835.0,1241.0
G299,916.6,986.89,1954.94,1407.75,1180.58,2863.25,1189.25,1593.23,736.29,3137.43
G300,1163.87,1143.54,1165.0,1779.0,1287.99,145.0,1488.0,943.0,1004.65,368.0
G301,1.0,7.27,13.0,1.0,4.0,6.0,4.0,28.0,1.0,16.0
G302,134.0,197.0,222.0,241.0,245.0,180.0,165.0,220.0,125.0,253.0
G303,15.0,34.0,45.0,119.0,105.0,216.0,148.0,5.0,87.0,108.0
G304,173.0,69.0,300.0,364.0,209.0,859.0,343.0,502.0,208.0,702.0
G305,658.0,615.0,885.0,952.12,807.0,2150.0,981.0,1255.0,621.0,1077.0
G306,112.0,71.0,75.0,233.0,114.0,26.0,83.0,45.0,24.0,54.0
G307,189.0,81.0,803.0,442.0,320.0,79.0,1598.0,503.0,998.0,65.0
G308,208.0,483.0,237.0,99.0,136.0,145.0,140.0,39.0,129.0,37.0
G309,2.0,4.0,8.0,4.0,2.83,4.0,6.0,105.0,18.0,2.0
G310,8.04,2.51,8.0,6.0,1.0,6.68,2.0,8.29,3.0,1.0
