,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
G56,8.46,6.08,5.32,5.6,4.85,8.01,6.02,7.52,2.9,2.0,1.01,7.15,8.07,7.78,3.59,1.0,5.64,1.0,2.0,3.0,7.92,1.12,8.88,6.07,4.72,8.19,1.93,5.78,9.55,8.64,7.29,3.07,3.67,3.0,7.18,27.0,38.0,17.0,6.0,3.0,1.0,1.0
G57,3.1,9.71,5.23,9.75,1.0,2.1,2.41,5.35,2.44,1.0,5.22,6.84,9.85,4.59,3.54,5.03,5.02,1.0,7.97,2.03,4.12,3.87,5.15,5.59,8.03,1.84,3.34,6.85,1.52,2.54,7.45,1.14,7.57,5.36,1.3,4.38,1.92,1.39,2.0,9.94,7.31,1.0
G58,255.0,585.0,269.0,21.0,194.0,936.0,136.0,553.0,114.0,636.0,590.0,613.0,827.0,510.0,554.0,496.0,845.0,729.0,626.0,634.0,702.0,94.0,3.95,291.0,496.0,11.0,66.0,158.0,77.0,154.0,31.0,115.0,7.2,17.0,8.0,43.0,40.0,20.0,2676.0,719.0,697.0,803.0
G59,7.58,1.86,9.78,1.88,3.17,5.02,5.53,5.34,9.45,7.32,2.29,9.45,1.37,8.0,6.05,9.8,9.44,1.64,3.95,9.24,6.59,1.95,6.31,6.34,9.15,1.95,5.3,1.02,3.08,7.32,5.13,9.55,2.47,6.98,4.96,7.05,4.47,5.86,8.53,9.62,6.27,7.11
G60,460.0,1028.0,535.0,47.0,455.0,2231.0,338.0,1180.0,159.0,927.0,1282.0,1073.0,1476.0,974.0,778.0,917.0,1172.0,1500.0,1302.0,1352.0,1309.0,193.0,4.49,535.0,1238.0,37.0,202.0,347.0,205.0,253.0,118.0,193.0,5.56,20.0,12.0,8.0,16.0,6.0,8289.0,2072.0,1987.0,1223.0
G61,5.75,2.0,1.39,2.91,5.14,8.0,2.14,1.0,6.45,3.0,1.0,7.32,7.0,4.0,6.0,2.0,2.0,1.0,3.0,5.0,1.86,5.72,2.02,8.59,8.32,3.88,9.93,6.31,9.63,8.33,1.35,7.6,1.42,7.34,5.99,8.53,1.0,4.42,7.0,2.0,1.0,1.0
G62,1943.0,4182.0,1527.0,119.0,1226.0,6737.0,872.0,3243.0,383.0,2427.0,3577.0,2449.0,3139.0,1977.0,2684.0,2519.0,3287.0,3702.0,2949.0,2639.0,6277.0,769.0,1.43,1776.0,4493.0,110.0,409.0,722.0,318.0,370.0,184.0,266.0,6.3,20.0,4.0,8.82,2.0,3.74,12499.0,3502.0,3514.0,2697.0
G63,1.0,7.0,5.65,1.75,1.59,12.0,1.0,2.0,2.0,8.0,10.0,12.0,14.0,13.0,11.0,12.0,6.0,6.0,2.0,3.0,5.0,8.14,6.96,8.0,5.0,5.25,1.0,2.0,2.0,3.0,2.0,4.0,1.19,9.88,2.99,6.9,5.0,3.27,7.0,10.0,3.0,10.0
G64,4.87,1.0,6.52,5.41,6.3,7.41,3.53,7.75,13.0,74.0,1.5,4.38,5.12,1.85,2.84,1.13,2.73,6.71,5.13,1.0,9.23,6.04,2.89,9.77,3.82,6.85,9.61,3.24,4.71,9.7,4.71,9.62,3.95,7.26,8.38,3.0,4.95,4.52,469.0,118.0,136.0,159.0
G65,4.78,9.8,5.46,1.68,5.88,3.0,8.0,1.0,3.32,1.0,7.18,5.18,1.0,1.0,4.0,2.0,1.0,4.0,3.77,3.0,1.0,9.02,7.26,1.85,2.63,7.94,2.43,6.42,3.28,2.0,4.13,3.47,1.65,4.1,1.41,6.31,1.0,8.25,10.0,1.0,2.0,1.0
G66,95.0,251.88,64.0,10.0,61.0,386.0,132.0,298.0,32.0,134.0,327.0,245.0,258.0,209.0,214.0,171.0,291.0,264.0,270.0,187.0,231.0,34.0,9.16,113.0,201.0,4.0,67.0,105.0,56.0,36.0,12.0,36.0,5.71,8.0,7.0,32.0,75.0,24.0,777.0,284.0,272.0,259.0
G67,20.0,46.0,23.0,2.0,21.0,89.0,6.0,56.0,36.0,266.0,61.0,77.0,129.0,68.0,95.0,85.0,72.0,68.0,47.0,78.0,83.0,12.0,9.69,43.0,123.0,5.85,2.0,10.0,12.0,72.0,25.0,91.0,9.79,48.0,39.0,159.0,197.0,79.0,340.0,67.0,81.0,279.0
G68,30.0,38.0,11.0,4.98,8.0,39.0,1.0,23.0,4.0,13.0,15.0,38.0,49.0,17.0,28.0,53.0,69.0,51.0,24.0,46.0,39.0,11.0,1.53,17.0,29.0,2.0,2.25,2.0,3.18,37.0,18.0,33.0,1.53,14.0,9.0,1.0,3.0,5.84,186.0,35.0,55.0,25.0
G69,368.0,951.0,412.0,33.0,358.0,1419.0,267.0,905.0,155.0,801.0,899.0,872.0,936.0,478.0,756.0,550.0,933.0,1142.0,1067.0,899.0,834.0,144.0,1.87,221.0,467.0,12.0,53.0,79.0,43.0,64.0,33.0,53.0,1.54,13.0,6.0,4.0,5.0,1.0,6875.0,2141.0,1888.0,1365.0
G70,86.0,163.0,57.0,7.0,53.0,319.0,97.0,210.0,35.0,235.0,235.0,193.0,292.0,168.0,196.0,140.0,187.0,262.91,218.0,220.0,188.0,17.0,2.55,96.0,165.0,5.0,61.0,91.0,47.0,57.0,26.0,61.0,2.45,11.0,12.0,16.0,10.0,2.0,727.0,196.0,172.0,240.0
G71,246.0,485.0,234.0,21.0,128.0,754.0,82.0,371.0,77.0,574.0,448.0,651.0,728.0,366.0,405.0,512.0,657.0,595.0,514.0,598.0,634.0,101.0,1.24,231.0,497.0,10.0,8.0,44.0,18.0,157.98,93.0,105.0,9.9,20.0,12.0,8.88,12.0,2.0,2524.0,492.0,619.0,588.0
G72,147.0,363.0,130.0,13.0,114.0,661.0,142.0,445.0,77.0,344.0,424.0,309.0,474.0,396.0,264.0,298.0,400.0,626.0,522.0,551.0,495.0,51.0,5.93,224.0,407.0,18.0,107.0,359.0,177.0,233.0,158.0,255.0,3.58,167.0,125.0,497.0,565.0,198.0,1570.0,499.0,410.0,470.0
G73,286.0,719.0,321.0,34.0,271.0,1119.0,244.0,616.0,124.0,612.0,717.0,535.0,628.0,438.0,597.0,405.0,739.0,738.0,678.0,529.0,669.0,94.0,1.22,258.0,442.0,8.0,56.0,113.0,62.0,64.0,28.0,62.0,4.82,20.0,10.0,18.0,51.0,20.0,3828.0,1294.0,1103.0,907.0
G74,80.0,196.0,106.0,3.0,51.0,445.0,129.0,434.0,422.0,2184.0,457.0,221.0,355.0,328.0,133.0,138.0,228.0,144.0,124.0,109.0,178.0,31.0,8.17,127.0,209.0,3.0,71.0,272.0,119.0,566.0,398.0,649.0,3.99,399.0,222.0,268.0,382.0,153.0,3398.49,996.0,920.0,3378.0
G75,1802.0,4007.0,1609.0,146.0,1168.0,7784.0,897.0,3883.0,400.0,2680.0,4473.0,3432.0,4773.0,3242.0,2827.0,3084.0,3774.0,5453.0,4640.0,5007.0,4058.0,533.0,6.49,1768.0,4053.0,97.0,231.0,789.0,213.0,1112.0,585.0,913.0,3.13,124.0,56.0,35.0,58.0,11.0,24143.0,5968.0,6347.0,3135.0
G76,39.0,99.0,44.0,6.0,36.0,172.0,26.0,110.0,5.0,54.0,88.0,106.0,134.0,86.0,130.0,73.0,104.0,155.0,125.0,117.0,104.0,14.0,9.07,29.0,64.0,5.65,8.0,49.0,21.0,34.0,18.0,25.0,4.27,12.0,4.0,27.0,51.0,20.0,408.0,149.0,96.0,73.0
G77,1.0,3.0,7.4,2.0,1.0,6.0,2.0,5.0,2.0,7.0,4.0,11.0,12.0,2.0,33.0,20.0,11.0,15.0,18.0,16.0,4.0,3.0,3.07,2.0,1.0,7.16,4.33,6.0,8.16,1.0,4.45,2.0,4.71,6.73,5.74,1.99,7.49,4.31,30.0,12.0,11.0,8.0
