,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G44,560.0,811.0,680.0,150.0,258.0,414.0,423.0,43.0,46.0,33.0,61.0,50.0,177.0,502.0,942.0,526.0,524.0,472.0,969.0,715.0,104.0,440.0,912.0,941.0
G45,966.0,1850.0,1362.0,1157.0,4865.0,2588.0,5014.0,1033.0,1225.0,1521.0,652.0,1542.0,1506.0,387.0,1245.0,1489.0,890.0,6198.0,1336.0,1810.0,773.0,356.0,3327.0,4355.0
G46,1246.0,3325.0,2681.0,5861.0,17350.0,7627.0,20105.0,27720.0,48341.0,229034.0,97590.0,232831.0,123.0,16.0,6.41,9.18,3.0,8.19,3.22,2.57,60.0,111.0,13740.0,1.97
G47,270.0,169.0,322.0,41.0,249.18,293.0,162.0,63.0,34.0,42.0,72.0,57.0,65.0,135.0,45.0,319.0,66.0,240.0,184.0,127.0,115.0,24.0,269.0,143.0
G48,2915.33,1504.02,1555.26,597.17,1852.91,1957.9,1931.83,226.79,118.28,156.17,204.69,414.56,370.68,744.07,984.98,828.54,302.61,1680.41,1785.14,2663.67,290.34,718.26,3123.56,1198.02
G49,9.0,126.0,2.0,25.0,86.0,30.0,13.0,7.0,17.0,5.0,12.0,10.0,9.72,3.0,9.27,6.84,12.0,1.04,5.19,1.0,21.0,1.0,7.48,1.04
G50,4.1,2.37,2.0,5.0,1.0,6.2,2.0,4.74,5.83,6.35,1.0,5.06,6.67,2.0,5.16,4.29,1.87,7.92,3.75,4.0,5.39,9.78,4.62,5.23
G51,246.0,147.0,90.0,37.0,263.0,175.0,303.0,104.0,81.0,94.0,43.0,89.0,60.0,17.0,602.0,319.0,25.0,245.0,5.74,96.0,4.0,102.0,133.0,119.0
G52,127.0,639.0,317.0,306.0,1901.0,490.0,450.0,68.0,52.0,146.0,77.0,161.0,28.0,175.0,744.0,513.0,232.0,308.0,174.0,255.0,67.0,2486.0,805.0,1027.0
G53,327.0,1138.0,354.0,108.0,269.0,328.0,227.0,582.0,216.0,681.0,451.0,630.0,643.0,614.0,261.0,281.0,337.0,1008.0,98.0,1015.0,2735.0,374.0,545.0,472.0
G54,713.0,738.0,684.0,218.0,344.0,992.0,378.0,171.0,167.0,402.0,306.0,434.0,1012.0,1262.0,921.0,825.0,794.0,695.0,804.0,545.0,1820.0,784.0,1324.0,900.0
G55,964.0,481.0,1539.0,279.0,608.0,453.0,1372.0,84.0,44.0,65.0,75.0,191.0,467.0,576.0,604.0,2023.0,414.0,1816.0,1547.0,3059.0,208.0,766.0,2450.0,3113.0
G56,3.0,354.0,3.0,2.0,5.0,3.0,45.0,1.12,2.0,1.67,1.0,2.02,1.47,14.0,122.0,4.06,39.0,44.0,2.0,8.0,35.0,9.69,1.0,63.0
G57,3.03,2.55,2.0,10.0,1.0,6.77,5.0,1.0,1.0,3.2,3.99,4.56,1.0,3.84,1.08,2.51,9.95,6.4,2.0,9.53,1.59,3.28,5.61,8.04
G58,1532.56,1069.36,542.32,103.29,229.75,562.44,597.4,281.31,174.0,435.59,238.0,312.58,4219.88,514.53,2218.43,964.72,605.53,734.11,729.01,1488.22,2087.43,555.12,1499.68,1435.39
G59,50.25,229.99,63.93,560.43,84.2,155.45,149.62,64.01,283.58,28.88,1192.55,549.54,0.37,8.95,8.92,1.83,5.65,8.18,1.64,5.36,3.44,0.41,0.66,8.9
G60,1439.2,369.02,2166.0,308.0,317.01,233.01,475.01,146.73,366.26,390.19,570.22,738.48,764.59,246.05,1601.0,1114.02,327.02,125.0,223.05,319.93,205.3,414.32,1285.77,550.03
G61,1.0,41.0,2.0,67.0,1.83,12.0,5.0,1.0,10.0,1.61,28.0,12.0,1.48,23.0,2.32,5.75,7.88,8.32,5.41,1.0,6.0,9.57,1.72,2.64
G62,5.0,1.0,9.0,29.0,1.0,1.45,1.0,2.0,4.0,4.0,20.0,37.0,26.0,4.0,7.02,5.94,3.19,5.24,8.62,3.84,16.0,6.53,8.0,1.76
G63,69.0,296.0,851.0,118.0,198.0,100.0,727.0,106.0,240.0,345.0,244.0,478.0,8.0,2.0,627.0,1.0,8.88,9.0,4.95,9.24,2.36,3.48,1215.0,8.72
G64,13257.73,50012.31,17472.81,31085.47,42619.61,74582.34,68731.61,225716.99,160548.99,56618.99,24798.9,38468.9,642.34,930.5,1810.57,365.66,78.0,24830.45,40.0,11204.28,21064.1,62066.02,5574.81,16721.44
G65,12.0,71.0,15.0,74.0,53.0,97.0,56.0,17.0,113.0,67.0,45.0,101.0,2.0,4.28,3.34,8.82,1.7,5.47,2.95,1.65,9.27,1.7,117.0,3.01
G66,263.0,648.0,286.0,111.0,658.0,609.0,316.0,201.0,109.0,287.0,400.0,331.0,263.0,500.0,551.0,408.0,1006.0,1052.0,581.0,946.0,310.0,898.0,1395.0,1148.0
G67,56.0,76.0,268.0,238.0,81.0,83.0,149.0,36.0,75.0,58.0,99.0,98.0,58.0,165.0,453.0,172.0,241.0,78.0,21.0,330.0,65.0,205.0,140.0,368.0
G68,166.0,60.0,372.0,86.0,44.0,102.0,122.0,31.0,35.0,24.0,20.0,19.0,25.0,21.0,178.0,541.0,50.0,86.0,45.0,3.27,4.0,7.1,155.0,2.0
G69,524.0,2140.0,550.0,588.0,1117.0,811.0,1066.0,468.0,351.0,583.0,448.0,912.0,1302.0,572.0,1446.0,2494.0,1132.0,1037.0,461.0,1075.0,453.0,591.0,2141.0,1056.0
G70,384.0,256.0,234.0,90.0,38.0,99.0,93.0,59.0,77.0,99.0,88.0,158.0,442.0,234.0,213.0,106.0,110.0,154.0,210.0,180.0,382.0,64.0,108.0,291.0
G71,549.27,8.0,15.0,9.0,4.0,368.99,486.98,49.0,6.0,69.0,73.0,78.0,528.0,7.0,6.57,120.0,7.38,352.0,1449.0,209.0,8.45,416.0,290.0,738.0
G72,1811.0,1161.0,1274.0,175.0,392.0,2504.0,631.0,317.0,341.0,251.0,296.0,322.0,2020.0,983.0,1897.0,812.0,1093.0,2266.0,1998.0,2133.0,4047.0,1512.0,1313.0,1467.0
G73,1734.0,1752.0,883.0,310.0,630.0,540.0,886.0,539.0,477.0,586.0,524.0,655.0,1794.0,363.0,900.0,629.0,537.0,883.0,638.0,1167.0,866.0,775.0,1230.0,1788.0
